trial,card,demanded_criterion,selected_criterion,feedback,total_streaks
1,"[2, 2, 1, 3]",2,3,False,
2,"[3, 3, 1, 1]",2,1,False,
3,"[3, 3, 3, 3]",2,2,True,
4,"[1, 1, 2, 2]",2,2,True,
5,"[1, 1, 3, 2]",2,2,True,
6,"[2, 1, 2, 3]",2,2,True,
7,"[2, 1, 3, 2]",2,2,True,
8,"[2, 1, 2, 2]",2,2,True,
9,"[3, 3, 2, 3]",2,2,True,
10,"[1, 2, 2, 3]",2,2,True,
11,"[2, 3, 3, 3]",2,2,True,
12,"[2, 3, 2, 3]",2,2,True,1.0
13,"[1, 3, 2, 3]",3,2,False,
14,"[1, 2, 3, 2]",3,2,False,
15,"[3, 1, 2, 2]",3,0,False,
16,"[2, 3, 1, 3]",3,1,True,
17,"[3, 2, 3, 2]",3,1,True,
18,"[3, 1, 1, 3]",3,1,False,
19,"[2, 3, 3, 1]",3,3,True,
20,"[3, 2, 2, 2]",3,3,True,
21,"[2, 2, 2, 2]",3,3,True,
22,"[3, 1, 3, 1]",3,3,True,
23,"[3, 1, 1, 2]",3,3,True,
24,"[1, 2, 3, 3]",3,3,True,
25,"[1, 1, 2, 1]",3,3,True,
26,"[3, 3, 3, 1]",3,3,True,
27,"[2, 2, 3, 3]",3,3,True,
28,"[1, 3, 3, 2]",3,3,True,2.0
29,"[1, 2, 1, 1]",0,3,True,
30,"[3, 3, 2, 1]",0,3,False,
31,"[1, 3, 3, 1]",0,3,True,
32,"[1, 2, 1, 2]",0,3,False,
33,"[3, 3, 2, 2]",0,0,True,
34,"[2, 2, 3, 2]",0,0,True,
35,"[1, 2, 2, 1]",0,0,True,
36,"[3, 1, 3, 2]",0,0,True,
37,"[3, 3, 1, 3]",0,0,True,
38,"[2, 1, 3, 1]",0,0,True,
39,"[2, 1, 1, 1]",0,0,True,
40,"[1, 3, 3, 3]",0,0,True,
41,"[1, 3, 2, 1]",0,0,True,
42,"[1, 1, 2, 3]",0,0,True,3.0
43,"[3, 3, 1, 2]",1,0,True,
44,"[3, 1, 1, 1]",1,0,False,
45,"[3, 2, 1, 1]",1,0,False,
46,"[1, 3, 1, 2]",1,1,True,
47,"[2, 1, 1, 2]",1,1,True,
48,"[1, 2, 2, 2]",1,1,True,
49,"[2, 3, 1, 1]",1,1,True,
50,"[3, 2, 1, 3]",1,1,True,
51,"[2, 1, 2, 1]",1,1,True,
52,"[1, 1, 3, 3]",1,1,True,
53,"[3, 2, 3, 3]",1,1,True,
54,"[2, 2, 2, 1]",1,1,True,
55,"[1, 3, 1, 1]",1,1,True,4.0
56,"[3, 1, 3, 3]",2,1,False,
57,"[3, 1, 2, 3]",2,1,False,
58,"[3, 2, 3, 1]",2,0,True,
59,"[1, 1, 3, 1]",2,0,False,
60,"[1, 1, 1, 3]",2,2,True,
61,"[1, 2, 3, 1]",2,2,True,
62,"[3, 2, 1, 2]",2,2,True,
63,"[3, 3, 3, 2]",2,2,True,
64,"[2, 2, 1, 2]",2,2,True,
65,"[2, 2, 1, 1]",2,2,True,
66,"[2, 1, 3, 3]",2,2,True,
67,"[2, 2, 3, 1]",2,2,True,
68,"[2, 3, 3, 2]",2,2,True,
69,"[2, 3, 1, 2]",2,2,True,5.0
