,trial,card,demanded_criterion,selected_criterion,feedback,attention_weight,matching_vector,total_streaks
53,54,"[1, 1, 2, 1]",1,0,True,[0.43159172 0.22494657 0.03784652 0.30561576],[1.e+00 1.e+00 1.e-06 1.e+00],
54,55,"[3, 2, 1, 1]",1,0,False,[0.21579586 0.3065896  0.09854567 0.37906916],[1.e+00 1.e-06 1.e-06 1.e-06],
55,56,"[3, 2, 3, 3]",1,3,False,[0.10789793 0.6532943  0.04927284 0.18953458],[1.e+00 1.e-06 1.e+00 1.e+00],
56,57,"[2, 1, 1, 3]",1,1,True,[0.05394912 0.71891729 0.13236591 0.0947675 ],[1.e-06 1.e+00 1.e+00 1.e-06],
57,58,"[1, 3, 1, 2]",1,1,True,[0.02697506 0.85945865 0.06618345 0.04738425],[1.e-06 1.e+00 1.e-06 1.e-06],
58,59,"[2, 3, 2, 1]",1,1,True,[0.01348803 0.92972932 0.03309223 0.02369263],[1.e-06 1.e+00 1.e-06 1.e-06],
59,60,"[1, 2, 1, 2]",1,1,True,[0.00674407 0.89603467 0.01654619 0.08067617],[1.e-06 1.e+00 1.e-06 1.e+00],
60,61,"[2, 2, 3, 2]",1,1,True,[0.03465078 0.80855506 0.00827315 0.14852157],[1.e+00 1.e+00 1.e-06 1.e+00],
61,62,"[3, 1, 1, 3]",1,1,True,[0.01732548 0.85834661 0.05006721 0.07426098],[1.e-06 1.e+00 1.e+00 1.e-06],
62,63,"[3, 1, 3, 1]",1,1,True,[0.0086628  0.81553118 0.0250337  0.15077246],[1.e-06 1.e+00 1.e-06 1.e+00],
63,64,"[1, 2, 2, 2]",1,1,True,[0.00433143 0.71925793 0.06709133 0.20931938],[1.e-06 1.e+00 1.e+00 1.e+00],
64,65,"[2, 3, 1, 1]",1,1,True,[0.00216621 0.85962896 0.03354616 0.10466019],[1.e-06 1.e+00 1.e-06 1.e-06],
65,66,"[3, 3, 2, 1]",1,1,True,[0.02498286 0.90591447 0.01677318 0.05233026],[1.e+00 1.e+00 1.e-06 1.e-06],5.0
