trial,card,demanded_criterion,selected_criterion,feedback,total_streaks
1,"[1, 1, 1, 2]",3,3,True,
2,"[2, 1, 3, 1]",3,3,True,
3,"[1, 1, 3, 3]",3,3,True,
4,"[3, 2, 1, 1]",3,3,True,
5,"[2, 3, 2, 1]",3,3,True,
6,"[3, 1, 2, 1]",3,3,True,
7,"[2, 2, 3, 1]",3,3,True,
8,"[2, 3, 1, 2]",3,3,True,
9,"[2, 2, 3, 3]",3,3,True,
10,"[2, 3, 3, 3]",3,3,True,1.0
11,"[3, 3, 2, 1]",0,3,False,
12,"[2, 3, 1, 3]",0,3,False,
13,"[3, 2, 1, 2]",0,3,False,
14,"[1, 1, 2, 3]",0,3,False,
15,"[1, 1, 3, 1]",0,3,True,
16,"[1, 3, 2, 1]",0,3,True,
17,"[2, 2, 2, 3]",0,3,False,
18,"[2, 1, 1, 2]",0,3,True,
19,"[3, 2, 2, 3]",0,3,True,
20,"[3, 2, 2, 1]",0,3,False,
21,"[3, 3, 1, 1]",0,3,False,
22,"[3, 3, 3, 2]",0,3,False,
23,"[3, 1, 1, 3]",0,3,True,
24,"[1, 1, 3, 2]",0,3,False,
25,"[2, 3, 1, 1]",0,3,False,
26,"[3, 1, 3, 2]",0,0,True,
27,"[1, 1, 2, 2]",0,0,True,
28,"[3, 1, 3, 1]",0,0,True,
29,"[2, 1, 1, 1]",0,0,True,
30,"[2, 2, 2, 1]",0,0,True,
31,"[2, 2, 1, 2]",0,0,True,
32,"[2, 2, 3, 2]",0,0,True,
33,"[3, 2, 2, 2]",0,0,True,
34,"[1, 2, 1, 1]",0,0,True,
35,"[2, 1, 2, 1]",0,0,True,2.0
36,"[1, 3, 3, 2]",1,0,False,
37,"[1, 3, 2, 3]",1,0,False,
38,"[2, 2, 1, 1]",1,0,True,
39,"[3, 3, 1, 2]",1,0,True,
40,"[2, 3, 3, 2]",1,0,False,
41,"[3, 1, 2, 2]",1,0,False,
42,"[2, 3, 2, 2]",1,0,False,
43,"[1, 2, 3, 3]",1,0,False,
44,"[1, 3, 3, 3]",1,0,False,
45,"[3, 1, 1, 1]",1,0,False,
46,"[2, 1, 2, 3]",1,0,False,
47,"[3, 1, 3, 3]",1,0,False,
48,"[3, 1, 1, 2]",1,1,True,
49,"[1, 2, 1, 3]",1,1,True,
50,"[2, 1, 3, 3]",1,1,True,
51,"[1, 3, 2, 2]",1,1,True,
52,"[1, 3, 1, 3]",1,1,True,
53,"[1, 1, 2, 1]",1,1,True,
54,"[1, 2, 2, 3]",1,1,True,
55,"[2, 1, 2, 2]",1,1,True,
56,"[1, 2, 3, 2]",1,1,True,
57,"[1, 1, 1, 3]",1,1,True,3.0
58,"[3, 1, 2, 3]",2,1,False,
59,"[1, 2, 2, 1]",2,1,True,
60,"[3, 2, 3, 1]",2,1,False,
61,"[3, 2, 3, 2]",2,1,False,
62,"[3, 3, 2, 3]",2,1,False,
63,"[3, 3, 3, 1]",2,1,True,
64,"[1, 2, 3, 1]",2,1,False,
65,"[2, 1, 1, 3]",2,1,True,
66,"[3, 3, 1, 3]",2,1,False,
67,"[3, 3, 2, 2]",2,1,False,
68,"[1, 2, 1, 2]",2,2,True,
69,"[2, 2, 1, 3]",2,2,True,
70,"[2, 1, 3, 2]",2,2,True,
71,"[2, 3, 2, 3]",2,2,True,
72,"[3, 2, 1, 3]",2,2,True,
73,"[1, 3, 3, 1]",2,2,True,
74,"[1, 3, 1, 2]",2,2,True,
75,"[3, 2, 3, 3]",2,2,True,
76,"[1, 3, 1, 1]",2,2,True,
77,"[2, 3, 3, 1]",2,2,True,4.0
78,"[1, 2, 2, 2]",3,2,True,
79,"[1, 1, 1, 2]",3,2,False,
80,"[2, 1, 3, 1]",3,2,False,
81,"[1, 1, 3, 3]",3,2,True,
82,"[3, 2, 1, 1]",3,2,True,
83,"[2, 3, 2, 1]",3,2,False,
84,"[3, 1, 2, 1]",3,2,False,
85,"[2, 2, 3, 1]",3,2,False,
86,"[2, 3, 1, 2]",3,2,False,
87,"[2, 2, 3, 3]",3,2,True,
88,"[2, 3, 3, 3]",3,2,True,
89,"[3, 3, 2, 1]",3,2,False,
90,"[2, 3, 1, 3]",3,2,False,
91,"[3, 2, 1, 2]",3,2,False,
92,"[1, 1, 2, 3]",3,3,True,
93,"[1, 1, 3, 1]",3,3,True,
94,"[1, 3, 2, 1]",3,3,True,
95,"[2, 2, 2, 3]",3,3,True,
96,"[2, 1, 1, 2]",3,3,True,
97,"[3, 2, 2, 3]",3,3,True,
98,"[3, 2, 2, 1]",3,3,True,
99,"[3, 3, 1, 1]",3,3,True,
100,"[3, 3, 3, 2]",3,3,True,
101,"[3, 1, 1, 3]",3,3,True,5.0
