trial,card,demanded_criterion,selected_criterion,feedback,total_streaks
1,"[3, 2, 3, 1]",0,3,False,
2,"[2, 1, 1, 1]",0,2,False,
3,"[2, 2, 1, 2]",0,0,True,
4,"[3, 1, 3, 1]",0,0,True,
5,"[3, 3, 2, 1]",0,0,True,
6,"[3, 2, 3, 3]",0,0,True,
7,"[2, 3, 3, 2]",0,0,True,
8,"[3, 2, 2, 3]",0,0,True,
9,"[3, 3, 3, 2]",0,0,True,
10,"[1, 2, 3, 2]",0,0,True,
11,"[2, 3, 1, 3]",0,0,True,
12,"[1, 3, 2, 3]",0,0,True,1.0
13,"[1, 3, 1, 3]",1,0,False,
14,"[2, 1, 3, 2]",1,0,False,
15,"[1, 3, 2, 1]",1,0,False,
16,"[1, 2, 1, 1]",1,0,False,
17,"[1, 1, 2, 1]",1,0,True,
18,"[3, 2, 2, 1]",1,0,False,
19,"[2, 1, 3, 1]",1,0,False,
20,"[2, 2, 3, 2]",1,0,True,
21,"[2, 3, 3, 3]",1,0,False,
22,"[1, 1, 3, 1]",1,0,True,
23,"[2, 1, 2, 2]",1,0,False,
24,"[1, 3, 1, 2]",1,0,False,
25,"[1, 3, 3, 1]",1,0,False,
26,"[1, 2, 3, 3]",1,0,False,
27,"[3, 1, 1, 2]",1,0,False,
28,"[2, 3, 2, 3]",1,0,False,
29,"[3, 3, 1, 3]",1,0,True,
30,"[3, 2, 1, 3]",1,0,False,
31,"[2, 1, 1, 3]",1,0,False,
32,"[2, 3, 1, 2]",1,0,False,
33,"[3, 3, 2, 3]",1,1,True,
34,"[3, 3, 3, 1]",1,1,True,
35,"[3, 2, 1, 2]",1,1,True,
36,"[2, 2, 3, 1]",1,1,True,
37,"[3, 2, 2, 2]",1,1,True,
38,"[3, 2, 3, 2]",1,1,True,
39,"[1, 2, 3, 1]",1,1,True,
40,"[3, 3, 1, 2]",1,1,True,
41,"[1, 3, 2, 2]",1,1,True,
42,"[2, 1, 1, 2]",1,1,True,2.0
43,"[1, 1, 3, 3]",2,1,False,
44,"[1, 2, 2, 1]",2,1,True,
45,"[2, 2, 1, 3]",2,1,False,
46,"[2, 1, 2, 1]",2,1,False,
47,"[1, 3, 3, 2]",2,1,True,
48,"[1, 2, 1, 2]",2,1,False,
49,"[1, 2, 1, 3]",2,1,False,
50,"[3, 1, 3, 3]",2,1,False,
51,"[1, 1, 2, 3]",2,1,False,
52,"[2, 2, 3, 3]",2,1,False,
53,"[2, 1, 3, 3]",2,1,False,
54,"[2, 2, 1, 1]",2,1,False,
55,"[3, 1, 1, 1]",2,1,True,
56,"[2, 3, 2, 2]",2,1,False,
57,"[3, 1, 2, 2]",2,2,True,
58,"[3, 3, 2, 2]",2,2,True,
59,"[3, 3, 3, 3]",2,2,True,
60,"[3, 1, 2, 3]",2,2,True,
61,"[2, 3, 3, 1]",2,2,True,
62,"[3, 1, 1, 3]",2,2,True,
63,"[2, 3, 2, 1]",2,2,True,
64,"[2, 2, 2, 1]",2,2,True,
65,"[3, 1, 3, 2]",2,2,True,
66,"[2, 2, 2, 2]",2,2,True,3.0
67,"[1, 2, 2, 3]",3,2,False,
68,"[1, 3, 3, 3]",3,2,True,
69,"[3, 3, 1, 1]",3,2,True,
70,"[2, 3, 1, 1]",3,2,True,
71,"[1, 1, 1, 3]",3,2,False,
72,"[1, 3, 1, 1]",3,2,True,
73,"[2, 1, 2, 3]",3,2,False,
74,"[3, 2, 1, 1]",3,2,True,
75,"[1, 2, 2, 2]",3,2,True,
76,"[1, 1, 3, 2]",3,2,False,
77,"[1, 1, 2, 2]",3,2,True,
78,"[3, 1, 2, 1]",3,2,False,
