trial,card,demanded_criterion,selected_pile,feedback,total_streaks
1,"[1, 2, 3, 2]",2,3,True,
2,"[3, 2, 3, 3]",2,3,True,
3,"[2, 3, 3, 1]",2,3,True,
4,"[1, 1, 3, 1]",2,3,True,
5,"[3, 2, 3, 2]",2,3,True,
6,"[3, 1, 3, 3]",2,3,True,
7,"[2, 1, 3, 3]",2,3,True,
8,"[2, 3, 2, 1]",2,2,True,
9,"[3, 3, 2, 1]",2,2,True,
10,"[2, 1, 3, 1]",2,3,True,1.0
11,"[3, 3, 2, 3]",1,2,False,
12,"[1, 3, 1, 2]",1,1,False,
13,"[1, 3, 3, 1]",1,3,True,
14,"[2, 1, 1, 1]",1,1,True,
15,"[1, 2, 1, 3]",1,2,True,
16,"[3, 3, 3, 1]",1,3,True,
17,"[1, 3, 3, 3]",1,3,True,
18,"[1, 1, 3, 3]",1,1,True,
19,"[1, 3, 3, 2]",1,3,True,
20,"[3, 2, 2, 2]",1,2,True,
21,"[3, 1, 1, 1]",1,1,True,
22,"[1, 3, 2, 1]",1,3,True,2.0
23,"[1, 1, 2, 3]",0,1,True,
24,"[3, 1, 3, 1]",0,1,False,
25,"[2, 3, 3, 2]",0,3,False,
26,"[1, 3, 2, 3]",0,1,True,
27,"[2, 1, 2, 3]",0,2,True,
28,"[1, 2, 2, 2]",0,1,True,
29,"[2, 3, 2, 2]",0,2,True,
30,"[2, 3, 1, 1]",0,3,False,
31,"[2, 3, 1, 2]",0,2,True,
32,"[3, 1, 2, 1]",0,3,True,
33,"[2, 1, 2, 2]",0,2,True,
34,"[2, 2, 2, 1]",0,2,True,
35,"[3, 3, 1, 2]",0,3,True,
36,"[1, 1, 3, 2]",0,1,True,
37,"[1, 2, 2, 3]",0,1,True,
38,"[1, 2, 1, 2]",0,1,True,
39,"[3, 3, 1, 1]",0,3,True,
40,"[1, 1, 2, 2]",0,1,True,3.0
41,"[2, 1, 2, 1]",3,2,False,
42,"[1, 3, 1, 1]",3,3,False,
43,"[3, 1, 2, 3]",3,2,False,
44,"[2, 2, 3, 1]",3,2,False,
45,"[2, 3, 2, 3]",3,3,True,
