trial,card,demanded_criterion,selected_pile,feedback,total_streaks
1,"[2, 3, 1, 2]",1,3,True,
2,"[3, 3, 2, 1]",1,3,True,
3,"[3, 2, 1, 2]",1,2,True,
4,"[1, 3, 2, 2]",1,3,True,
5,"[3, 1, 3, 2]",1,1,True,
6,"[2, 1, 1, 3]",1,1,True,
7,"[2, 2, 1, 1]",1,2,True,
8,"[2, 1, 2, 2]",1,1,True,
9,"[1, 3, 2, 1]",1,3,True,
10,"[1, 2, 3, 2]",1,2,True,1.0
11,"[2, 3, 1, 3]",0,3,False,
12,"[1, 2, 2, 3]",0,2,False,
13,"[3, 3, 3, 1]",0,3,True,
14,"[1, 2, 2, 2]",0,2,False,
15,"[3, 2, 3, 2]",0,2,False,
16,"[2, 3, 3, 1]",0,3,False,
17,"[3, 3, 1, 2]",0,3,True,
18,"[1, 3, 3, 2]",0,3,False,
19,"[2, 2, 1, 2]",0,2,True,
20,"[2, 3, 2, 3]",0,3,False,
21,"[3, 3, 1, 3]",0,3,True,
22,"[3, 2, 2, 2]",0,2,False,
23,"[1, 3, 3, 3]",0,3,False,
24,"[3, 1, 1, 3]",0,1,False,
25,"[2, 1, 3, 1]",0,1,False,
26,"[1, 2, 1, 1]",0,2,False,
27,"[2, 2, 3, 2]",0,2,True,
28,"[2, 1, 3, 3]",0,2,True,
29,"[3, 3, 1, 1]",0,3,True,
30,"[1, 2, 3, 1]",0,1,True,
31,"[1, 2, 1, 2]",0,1,True,
32,"[1, 3, 3, 1]",0,1,True,
33,"[1, 1, 3, 2]",0,1,True,
34,"[1, 3, 1, 3]",0,1,True,
35,"[1, 1, 3, 1]",0,1,True,
36,"[3, 1, 2, 1]",0,3,True,2.0
37,"[2, 3, 2, 2]",3,2,True,
38,"[1, 2, 1, 3]",3,1,False,
39,"[3, 3, 2, 3]",3,3,True,
40,"[1, 3, 2, 3]",3,1,False,
41,"[2, 2, 3, 3]",3,2,False,
42,"[1, 1, 2, 2]",3,2,True,
43,"[3, 2, 3, 1]",3,1,True,
44,"[3, 1, 2, 2]",3,2,True,
45,"[2, 1, 3, 2]",3,2,True,
46,"[3, 2, 2, 3]",3,3,True,
47,"[3, 2, 1, 3]",3,3,True,
48,"[2, 2, 3, 1]",3,1,True,
49,"[3, 3, 2, 2]",3,2,True,
50,"[2, 1, 1, 1]",3,1,True,
51,"[3, 1, 1, 2]",3,2,True,3.0
52,"[1, 1, 2, 3]",2,3,False,
53,"[2, 2, 2, 1]",2,2,True,
54,"[2, 2, 1, 3]",2,1,True,
55,"[1, 3, 1, 2]",2,1,True,
56,"[3, 1, 2, 3]",2,2,True,
57,"[3, 1, 3, 1]",2,3,True,
58,"[2, 3, 2, 1]",2,2,True,
59,"[1, 1, 3, 3]",2,3,True,
60,"[2, 1, 2, 3]",2,2,True,
61,"[3, 2, 3, 3]",2,3,True,
62,"[1, 1, 2, 1]",2,2,True,4.0
63,"[1, 3, 1, 1]",1,1,False,
64,"[2, 3, 3, 3]",1,3,True,
65,"[1, 2, 2, 1]",1,2,True,
66,"[3, 3, 3, 2]",1,3,True,
67,"[3, 1, 1, 1]",1,1,True,
68,"[3, 1, 3, 3]",1,3,False,
69,"[2, 2, 2, 3]",1,2,True,
70,"[2, 1, 1, 2]",1,1,True,
71,"[2, 3, 3, 2]",1,3,True,
72,"[1, 1, 1, 3]",1,1,True,
73,"[2, 3, 1, 1]",1,3,True,
74,"[1, 2, 3, 3]",1,2,True,
75,"[3, 2, 2, 1]",1,2,True,
76,"[2, 1, 2, 1]",1,2,False,
77,"[1, 1, 1, 2]",1,1,True,
78,"[3, 2, 1, 1]",1,2,True,
79,"[2, 3, 1, 2]",1,3,True,
80,"[3, 3, 2, 1]",1,3,True,
81,"[3, 2, 1, 2]",1,2,True,
82,"[1, 3, 2, 2]",1,3,True,
83,"[3, 1, 3, 2]",1,1,True,
84,"[2, 1, 1, 3]",1,1,True,
85,"[2, 2, 1, 1]",1,2,True,
86,"[2, 1, 2, 2]",1,1,True,5.0
